1,Scolwerz,42:42.990,1:11.593,1
2,Legenda,42:53.784,1:11.620,1
3,Number One,43:05.379,1:11.683,2
4,Fooji,43:09.219,1:10.776,2
5,Zuppaq,43:14.545,1:11.468,1
6,NeXo,43:23.972,1:11.401,2
7,Goldrush,43:35.198,1:11.138,2
8,Dávid,45:00.100,1:11.127,3
9,BMW,45:00.200,1:11.555,2
10,Bálint,45:00.300,1:11.231,2
11,Monte Carlo,45:00.400,1:11.417,3
12,Mateusz rex,45:00.500,1:13.079,2
13,Sneaky,45:00.600,1:10.583,3
14,bj,46:40.000,1:12.349,2
DNF,Rákoskutya,,1:11.535,1
DNF,Solo,,1:11.677,3
DNF,lisek,,1:15.611,0
